category,amc,metric,coverage_pct
ELSS,GROWW,manager_experience,100.0
ELSS,GROWW,max_dd,100.0
ELSS,GROWW,pb,100.0
ELSS,GROWW,pe,100.0
ELSS,GROWW,return_3m,100.0
ELSS,GROWW,return_6m,100.0
ELSS,GROWW,roe,100.0
ELSS,GROWW,rolling_3y,100.0
ELSS,GROWW,rolling_5y,100.0
ELSS,GROWW,sector_hhi,100.0
ELSS,GROWW,sharpe,100.0
ELSS,GROWW,sortino,100.0
ELSS,GROWW,stock_count,100.0
ELSS,GROWW,ter,100.0
ELSS,GROWW,top10,100.0
ELSS,GROWW,top3_sector,100.0
ELSS,GROWW,turnover,100.0
ELSS,GROWW,up_beta,100.0
ELSS,GROWW,volatility,100.0
ELSS,HDFC,aum,100.0
ELSS,HDFC,cagr_1y,100.0
ELSS,HDFC,cagr_3y,100.0
ELSS,HDFC,cagr_5y,100.0
ELSS,HDFC,down_beta,100.0
ELSS,HDFC,iqr_3y,100.0
ELSS,HDFC,iqr_5y,100.0
ELSS,HDFC,ir,100.0
ELSS,HDFC,manager_experience,100.0
ELSS,HDFC,max_dd,100.0
ELSS,HDFC,pb,100.0
ELSS,HDFC,pe,100.0
ELSS,HDFC,return_3m,100.0
ELSS,HDFC,return_6m,100.0
ELSS,HDFC,roe,100.0
ELSS,HDFC,rolling_3y,100.0
ELSS,HDFC,rolling_5y,100.0
ELSS,HDFC,sector_hhi,100.0
ELSS,HDFC,sharpe,100.0
ELSS,HDFC,sortino,100.0
ELSS,HDFC,stock_count,100.0
ELSS,HDFC,ter,100.0
ELSS,HDFC,top10,100.0
ELSS,HDFC,top3_sector,100.0
ELSS,HDFC,turnover,100.0
ELSS,HDFC,up_beta,100.0
ELSS,HDFC,volatility,100.0
ELSS,ICICI,aum,100.0
ELSS,ICICI,cagr_1y,100.0
ELSS,ICICI,cagr_3y,100.0
ELSS,ICICI,cagr_5y,100.0
ELSS,ICICI,down_beta,100.0
ELSS,ICICI,iqr_3y,100.0
ELSS,ICICI,iqr_5y,100.0
ELSS,ICICI,ir,100.0
ELSS,ICICI,manager_experience,100.0
ELSS,ICICI,max_dd,100.0
ELSS,ICICI,pb,100.0
ELSS,ICICI,pe,100.0
ELSS,ICICI,return_3m,100.0
ELSS,ICICI,return_6m,100.0
ELSS,ICICI,roe,100.0
ELSS,ICICI,rolling_3y,100.0
ELSS,ICICI,rolling_5y,100.0
ELSS,ICICI,sector_hhi,100.0
ELSS,ICICI,sharpe,100.0
ELSS,ICICI,sortino,100.0
ELSS,ICICI,stock_count,100.0
ELSS,ICICI,ter,100.0
ELSS,ICICI,top10,100.0
ELSS,ICICI,top3_sector,100.0
ELSS,ICICI,turnover,100.0
ELSS,ICICI,up_beta,100.0
ELSS,ICICI,volatility,100.0
ELSS,INVESCO,aum,100.0
ELSS,INVESCO,cagr_1y,100.0
ELSS,INVESCO,cagr_3y,100.0
ELSS,INVESCO,cagr_5y,100.0
ELSS,INVESCO,down_beta,100.0
ELSS,INVESCO,iqr_3y,100.0
ELSS,INVESCO,iqr_5y,100.0
ELSS,INVESCO,ir,100.0
ELSS,INVESCO,manager_experience,100.0
ELSS,INVESCO,max_dd,100.0
ELSS,INVESCO,pb,100.0
ELSS,INVESCO,pe,100.0
ELSS,INVESCO,return_3m,100.0
ELSS,INVESCO,return_6m,100.0
ELSS,INVESCO,roe,100.0
ELSS,INVESCO,rolling_3y,100.0
ELSS,INVESCO,rolling_5y,100.0
ELSS,INVESCO,sector_hhi,100.0
ELSS,INVESCO,sharpe,100.0
ELSS,INVESCO,sortino,100.0
ELSS,INVESCO,stock_count,100.0
ELSS,INVESCO,ter,100.0
ELSS,INVESCO,top10,100.0
ELSS,INVESCO,top3_sector,100.0
ELSS,INVESCO,turnover,100.0
ELSS,INVESCO,up_beta,100.0
ELSS,INVESCO,volatility,100.0
ELSS,ITI,aum,100.0
ELSS,ITI,cagr_1y,100.0
ELSS,ITI,cagr_3y,100.0
ELSS,ITI,cagr_5y,100.0
ELSS,ITI,down_beta,100.0
ELSS,ITI,iqr_3y,100.0
ELSS,ITI,iqr_5y,100.0
ELSS,ITI,ir,100.0
ELSS,ITI,manager_experience,100.0
ELSS,ITI,max_dd,100.0
ELSS,ITI,pb,100.0
ELSS,ITI,pe,100.0
ELSS,ITI,return_3m,100.0
ELSS,ITI,return_6m,100.0
ELSS,ITI,roe,100.0
ELSS,ITI,rolling_3y,100.0
ELSS,ITI,rolling_5y,100.0
ELSS,ITI,sector_hhi,100.0
ELSS,ITI,sharpe,100.0
ELSS,ITI,sortino,100.0
ELSS,ITI,stock_count,100.0
ELSS,ITI,ter,100.0
ELSS,ITI,top10,100.0
ELSS,ITI,top3_sector,100.0
ELSS,ITI,turnover,100.0
ELSS,ITI,up_beta,100.0
